Key,CITY,COUNTY,STATE,ZIP,MS1,MS2,MS3,MS4,MS5,MS6,MS7,MS8,MS9,MS10
Key5489,FREMONT,ALAMEDA,CA,94538,34,687,699,448,448,779,824,904,975,962
Key5491,FOLSOM,SACRAMENTO,CA,95630,5,71,89,5,5,158,165,189,204,222
Key5499,SAN DIEGO,SAN DIEGO,CA,92101,31,1084,1193,946,946,1422,1478,1585,1633,1606
Key5510,TEMPLE CITY,LOS ANGELES,CA,91780,1264,258.2,989,1264,96,1413,1451,1549,814.81,1579
Key5511,ONTARIO,SAN BERNARDINO,CA,91762,23,285,362,101,122,1413,1430,1550,814.81,1593
Key5517,SAN FRANCISCO,SAN FRANCISCO,CA,94107,190,832,839,379,379,960,1030,1122,1198,1141
Key5518,BRENTWOOD,CONTRA COSTA,CA,94513,170,484,570,223,223,1368,846,1025,1108,1081
Key5519,SALINAS,MONTEREY,CA,93905,1190,1252,1358,1162,1175,1758,1768,1967,814.81,1989
Key5523,SAN FRANCISCO,SAN FRANCISCO,CA,94103,96.6,323,323,160.83,164.52,720,739,865,911,888
Key5526,SANTA ROSA,SONOMA,CA,95407,79,832,922,713,719,1049,1236,1295,1474,1341
Key5536,CALISTOGA,NAPA,CA,94515,34,271,301,133,166,379,427,499,573,540
Key5540,FORT IRWIN,SAN BERNARDINO,CA,92310,6,157,149,35,29,379,380,465,608,555
Key5580,BUENA PARK,ORANGE,CA,90620,96.6,258.2,385.85,160.83,164.52,33,287,367,452,375
Key5609,DOWNEY,LOS ANGELES,CA,90242,96.6,258.2,385.85,160.83,164.52,219,298,445,575,462
Key5616,PALM DESERT,RIVERSIDE,CA,92260,286,456,456,314,154,643,580,625,814.81,638
Key5822,GREENFIELD,MONTEREY,CA,93927,43,189,189,124,155,403,403,509,531,567
Key5884,LINCOLN,PLACER,CA,95648,99,199,207,93,102,419,437,522,677,656
Key5897,DESCANSO,SAN DIEGO,CA,91916,73,53,53,73,53,475,385,545,814.81,620
Key5898,JACUMBA,SAN DIEGO,CA,91934,143,48,249,57,53,539,592,657,814.81,672
Key5916,OLYMPIC VALLEY,PLACER,CA,96146,176,325,371,177,182,576,576,618,814.81,676
Key5923,JAMESTOWN,TUOLUMNE,CA,95327,92,185,194,93,184,335,395,472,670,625
Key5988,STEVINSON,MERCED,CA,95374,49,222,238,113,125,442,466,551,627,593
Key6208,CONCORD,CONTRA COSTA,CA,94521,24,1205,1239,513,529,1666,1674,1719,1765,1743
Key6314,LAFAYETTE,CONTRA COSTA,CA,94549,41,2,2,44,44,63,2,2,99,119
Key6348,SACRAMENTO,SACRAMENTO,CA,95833,85,85,168,85,85,639.71,318,429,814.81,431
Key6349,HAYWARD,ALAMEDA,CA,94544,21,148,245,48,113,316,321,392,814.81,429
Key6367,BURLINGAME,SAN MATEO,CA,94010,31,396,488,155,159,706,713,803,874,812
Key6368,MERCED,MERCED,CA,95348,1,49,49,29,29,274,308,336,394,388
Key6369,OAKLAND,ALAMEDA,CA,94607,96.6,299,407,141,203,610,648,796,910,823
Key6370,LIVERMORE,ALAMEDA,CA,94550,96.6,397,411,160.83,164.52,714,718,769,846,824
Key6371,SAN FRANCISCO,SAN FRANCISCO,CA,94124,31,473,559,334,334,695,745,849,886,996
Key6373,SAN JOSE,SANTA CLARA,CA,95117,96.6,258.2,385.85,160.83,164.52,392,395,427,558,518
Key7105,LOS ANGELES,LOS ANGELES,CA,90049,96.6,258.2,857,289,164.52,1657,1725,1896,814.81,1951
Key7106,LA VERNE,LOS ANGELES,CA,91750,771,1106,1162,771,771,1740,1743,1859,1913,1928
Key8386,SAN DIEGO,SAN DIEGO,CA,92104,282,77,264,282,48,302,313,378,814.81,392
Key8411,SAN JOSE,SANTA CLARA,CA,95131,21,71,71,51,97,358,336,415,491,429
Key9267,SAN CLEMENTE,LOS ANGELES,CA,90704,96.6,258.2,385.85,160.83,164.52,427,445,456,814.81,607
